rowId,id,category,symbolPath,symbol,type,source,relevance,relevanceToCrabSync,readStatus,naturalObservationStatus,argumentMetadataStatus,ownershipAuthorityStatus,visibilityDirection,lifecycleCoverage,persistenceUiCoverage,writeApplyStatus,safetyClassification,terminalDisposition,coverageDisposition,nextRequiredObservation,checklistLinks,checklistLinkage,coverageCapabilities
script-engine-gamemodebase-defaultplayername-property,script-engine-gamemodebase-defaultplayername-property,equipment-starting,/Script/Engine.GameModeBase:DefaultPlayerName,GameModeBase.DefaultPlayerName,property,object dump,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,raw identity excluded; fingerprint-only observation untested,not applicable to raw identity; only redacted fingerprints may be observed,raw text/value access forbidden; length/fingerprint metadata only,identity correlation only; never gameplay authority,untested with raw identity disabled,untested with raw identity disabled,raw identity must not be persisted or displayed by RuntimeProbe,forbidden; identity is not an apply or carrier path,redacted-fingerprint-only,needs_coverage,needs-coverage,"Use only bounded fingerprints to correlate host/joined-client sessions across join, travel, reconnect, and disconnect; never emit raw identity.",coverage-equipment-starting; inventory-starting-defaults,coverage-equipment-starting; inventory-starting-defaults,equipment
script-engine-gamemodebase-getdefaultpawnclassforcontroller-function,script-engine-gamemodebase-getdefaultpawnclassforcontroller-function,equipment-starting,/Script/Engine.GameModeBase:GetDefaultPawnClassForController,GameModeBase.GetDefaultPawnClassForController,function,object dump,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,not applicable; passive observation candidate,not observed naturally,object-dump signature exposes 2 parameter(s); runtime values unobserved,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,passive-observation-only,needs_coverage,needs-coverage,"Trigger this behavior naturally and capture the passive hook, redacted arguments, pre/post state, authority, lifecycle, UI follow-up, and remote visibility.",coverage-equipment-starting; inventory-starting-defaults,coverage-equipment-starting; inventory-starting-defaults,equipment
script-engine-gamemodebase-handlestartingnewplayer-function,script-engine-gamemodebase-handlestartingnewplayer-function,equipment-starting,/Script/Engine.GameModeBase:HandleStartingNewPlayer,GameModeBase.HandleStartingNewPlayer,function,object dump,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,not applicable; passive observation candidate,not observed naturally,object-dump signature exposes 1 parameter(s); runtime values unobserved,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,passive-observation-only,needs_coverage,needs-coverage,"Trigger this behavior naturally and capture the passive hook, redacted arguments, pre/post state, authority, lifecycle, UI follow-up, and remote visibility.",coverage-equipment-starting; inventory-starting-defaults,coverage-equipment-starting; inventory-starting-defaults,equipment
script-engine-gamemodebase-spawndefaultpawnattransform-function,script-engine-gamemodebase-spawndefaultpawnattransform-function,equipment-starting,/Script/Engine.GameModeBase:SpawnDefaultPawnAtTransform,GameModeBase.SpawnDefaultPawnAtTransform,function,object dump,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,not applicable; passive observation candidate,not observed naturally,object-dump signature exposes 3 parameter(s); runtime values unobserved,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,passive-observation-only,needs_coverage,needs-coverage,"Trigger this behavior naturally and capture the passive hook, redacted arguments, pre/post state, authority, lifecycle, UI follow-up, and remote visibility.",coverage-equipment-starting; inventory-starting-defaults,coverage-equipment-starting; inventory-starting-defaults,equipment
script-engine-gamemodebase-spawndefaultpawnfor-function,script-engine-gamemodebase-spawndefaultpawnfor-function,equipment-starting,/Script/Engine.GameModeBase:SpawnDefaultPawnFor,GameModeBase.SpawnDefaultPawnFor,function,object dump,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,not applicable; passive observation candidate,not observed naturally,object-dump signature exposes 3 parameter(s); runtime values unobserved,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,passive-observation-only,needs_coverage,needs-coverage,"Trigger this behavior naturally and capture the passive hook, redacted arguments, pre/post state, authority, lifecycle, UI follow-up, and remote visibility.",coverage-equipment-starting; inventory-starting-defaults,coverage-equipment-starting; inventory-starting-defaults,equipment
script-engine-pawn-spawndefaultcontroller-function,script-engine-pawn-spawndefaultcontroller-function,equipment-starting,/Script/Engine.Pawn:SpawnDefaultController,Pawn.SpawnDefaultController,function,object dump,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,not applicable; passive observation candidate,not observed naturally,object-dump signature exposes 0 parameter(s); runtime values unobserved,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,passive-observation-only,needs_coverage,needs-coverage,"Trigger this behavior naturally and capture the passive hook, redacted arguments, pre/post state, authority, lifecycle, UI follow-up, and remote visibility.",coverage-equipment-starting; inventory-starting-defaults,coverage-equipment-starting; inventory-starting-defaults,equipment
script-engine-playercontroller-defaultclicktracechannel-property,script-engine-playercontroller-defaultclicktracechannel-property,equipment-starting,/Script/Engine.PlayerController:DefaultClickTraceChannel,PlayerController.DefaultClickTraceChannel,property,object dump,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ByteProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-equipment-starting; inventory-starting-defaults,coverage-equipment-starting; inventory-starting-defaults,equipment
script-engine-playercontroller-defaultmousecursor-property,script-engine-playercontroller-defaultmousecursor-property,equipment-starting,/Script/Engine.PlayerController:DefaultMouseCursor,PlayerController.DefaultMouseCursor,property,object dump,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,Equipment and starting/default behavior; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ByteProperty,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-equipment-starting; inventory-starting-defaults,coverage-equipment-starting; inventory-starting-defaults,equipment
policy-carrier-forbidden-equipment-da-property,policy-carrier-forbidden-equipment-da-property,equipment-starting,policy://unsafe/carrier-forbidden-equipment-da,carrier-forbidden-equipment-da,property,object dump,First-class documented forbidden carrier concern: CrabPS | WeaponDA/AbilityDA/MeleeDA as custom carrier | equipment authority | Carrier research plan forbidden list; equipment identity affects gameplay/loadout. | forbidden-template | Equipment DA visibility is for read-only convergence planning only.,First-class documented forbidden carrier concern: CrabPS | WeaponDA/AbilityDA/MeleeDA as custom carrier | equipment authority | Carrier research plan forbidden list; equipment identity affects gameplay/loadout. | forbidden-template | Equipment DA visibility is for read-only convergence planning only.,This rejection applies to mutation/carrier use; it does not erase separately cataloged safe read evidence.,not applicable to the rejected mutation/carrier path,not applicable; underlying object-dump candidates remain linked for provenance,rejected regardless of role or authority in RuntimeProbe,visibility does not authorize mutation or custom payload use,rejected across all lifecycle states in RuntimeProbe,persistence/UI consequences are part of the documented rejection,forbidden custom payload carrier; Observe ServerEquipInventory and ServerSetWeaponDA/ServerSetAbilityDA/ServerSetMeleeDA naturally.,explicitly-rejected-unsafe,unsafe_rejected,rejected-unsafe,None for this path in RuntimeProbe. Observe ServerEquipInventory and ServerSetWeaponDA/ServerSetAbilityDA/ServerSetMeleeDA naturally.,coverage-equipment-starting; ownership-playerstate-gamestate; policy-unsafe-paths-rejected,coverage-equipment-starting; ownership-playerstate-gamestate; policy-unsafe-paths-rejected,equipment; multiplayer-ownership-and-visibility
policy-unsafe-equipment-da-carrier-property,policy-unsafe-equipment-da-carrier-property,equipment-starting,policy://unsafe/unsafe-equipment-da-carrier,unsafe-equipment-da-carrier,property,object dump,"First-class documented forbidden carrier concern: P2P carrier | equipment DA fields | equipment DA fields as custom payload carrier | equipment authority | Carrier unsafe paths. | unsafe | yes | Explicit reclassification and proof, currently out of scope. | Equipment DA visibility is not carrier approval.","First-class documented forbidden carrier concern: P2P carrier | equipment DA fields | equipment DA fields as custom payload carrier | equipment authority | Carrier unsafe paths. | unsafe | yes | Explicit reclassification and proof, currently out of scope. | Equipment DA visibility is not carrier approval.",This rejection applies to mutation/carrier use; it does not erase separately cataloged safe read evidence.,not applicable to the rejected mutation/carrier path,not applicable; underlying object-dump candidates remain linked for provenance,rejected regardless of role or authority in RuntimeProbe,visibility does not authorize mutation or custom payload use,rejected across all lifecycle states in RuntimeProbe,persistence/UI consequences are part of the documented rejection,forbidden custom payload carrier; Observe ServerEquipInventory and ServerSetWeaponDA/ServerSetAbilityDA/ServerSetMeleeDA naturally.,explicitly-rejected-unsafe,unsafe_rejected,rejected-unsafe,None for this path in RuntimeProbe. Observe ServerEquipInventory and ServerSetWeaponDA/ServerSetAbilityDA/ServerSetMeleeDA naturally.,coverage-equipment-starting; policy-unsafe-paths-rejected,coverage-equipment-starting; policy-unsafe-paths-rejected,equipment
game-blueprint-chest-bp-chest-damage-bp-chest-damage-c-bp-chest-damage-c-actor,game-blueprint-chest-bp-chest-damage-bp-chest-damage-c-bp-chest-damage-c-actor,health-armor,/Game/Blueprint/Chest/BP_Chest_Damage.BP_Chest_Damage_C,BP_Chest_Damage_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-current-change; health-healing; world-chest,coverage-health-armor; health-current-change; health-healing; world-chest,health
game-blueprint-chest-bp-chest-health-bp-chest-health-c-bp-chest-health-c-actor,game-blueprint-chest-bp-chest-health-bp-chest-health-c-bp-chest-health-c-actor,health-armor,/Game/Blueprint/Chest/BP_Chest_Health.BP_Chest_Health_C,BP_Chest_Health_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing; world-chest,coverage-health-armor; health-healing; world-chest,health
game-blueprint-chest-bp-chest-regeneration-bp-chest-regeneration-c-bp-chest-regeneration-c-actor,game-blueprint-chest-bp-chest-regeneration-bp-chest-regeneration-c-bp-chest-regeneration-c-actor,health-armor,/Game/Blueprint/Chest/BP_Chest_Regeneration.BP_Chest_Regeneration_C,BP_Chest_Regeneration_C,actor,object dump,"Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.","Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-regeneration; health-healing; world-chest,coverage-health-armor; health-regeneration; health-healing; world-chest,health
game-blueprint-damagearea-bp-damagearea-abilityblackhole-bp-damagearea-abilityblackhole-c-bp-damagearea-abilityblackhole-c-actor,game-blueprint-damagearea-bp-damagearea-abilityblackhole-bp-damagearea-abilityblackhole-c-bp-damagearea-abilityblackhole-c-actor,health-armor,/Game/Blueprint/DamageArea/BP_DamageArea_AbilityBlackHole.BP_DamageArea_AbilityBlackHole_C,BP_DamageArea_AbilityBlackHole_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-current-change; health-healing,coverage-health-armor; health-current-change; health-healing,health
game-blueprint-damagearea-bp-damagearea-healthrock-bp-damagearea-healthrock-c-bp-damagearea-healthrock-c-actor,game-blueprint-damagearea-bp-damagearea-healthrock-bp-damagearea-healthrock-c-bp-damagearea-healthrock-c-actor,health-armor,/Game/Blueprint/DamageArea/BP_DamageArea_HealthRock.BP_DamageArea_HealthRock_C,BP_DamageArea_HealthRock_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-current-change; health-healing,coverage-health-armor; health-current-change; health-healing,health
game-blueprint-damagearea-bp-damagearea-maxhealthrock-bp-damagearea-maxhealthrock-c-bp-damagearea-maxhealthrock-c-actor,game-blueprint-damagearea-bp-damagearea-maxhealthrock-bp-damagearea-maxhealthrock-c-bp-damagearea-maxhealthrock-c-actor,health-armor,/Game/Blueprint/DamageArea/BP_DamageArea_MaxHealthRock.BP_DamageArea_MaxHealthRock_C,BP_DamageArea_MaxHealthRock_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-current-change; health-healing,coverage-health-armor; health-current-change; health-healing,health
game-blueprint-destructible-rock-bp-destructible-healthrock-bp-destructible-healthrock-c-bp-destructible-healthrock-c-actor,game-blueprint-destructible-rock-bp-destructible-healthrock-bp-destructible-healthrock-c-bp-destructible-healthrock-c-actor,health-armor,/Game/Blueprint/Destructible/Rock/BP_Destructible_HealthRock.BP_Destructible_HealthRock_C,BP_Destructible_HealthRock_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing,coverage-health-armor; health-healing,health
game-blueprint-destructible-rock-bp-destructible-maxhealthrock-bp-destructible-maxhealthrock-c-bp-destructible-maxhealthrock-c-actor,game-blueprint-destructible-rock-bp-destructible-maxhealthrock-bp-destructible-maxhealthrock-c-bp-destructible-maxhealthrock-c-actor,health-armor,/Game/Blueprint/Destructible/Rock/BP_Destructible_MaxHealthRock.BP_Destructible_MaxHealthRock_C,BP_Destructible_MaxHealthRock_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing,coverage-health-armor; health-healing,health
game-blueprint-enemy-crab-elite-fire-bp-damagearea-elitefirecrabweapon-bp-damagearea-elitefirecrabweapon-c-bp-damagearea-elitefirecrabweapon-c-actor,game-blueprint-enemy-crab-elite-fire-bp-damagearea-elitefirecrabweapon-bp-damagearea-elitefirecrabweapon-c-bp-damagearea-elitefirecrabweapon-c-actor,health-armor,/Game/Blueprint/Enemy/Crab/Elite/Fire/BP_DamageArea_EliteFireCrabWeapon.BP_DamageArea_EliteFireCrabWeapon_C,BP_DamageArea_EliteFireCrabWeapon_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-current-change; health-healing,coverage-health-armor; health-current-change; health-healing,health
game-blueprint-pickup-overlap-health-bp-pickup-health-bp-pickup-health-c-bp-pickup-health-c-actor,game-blueprint-pickup-overlap-health-bp-pickup-health-bp-pickup-health-c-bp-pickup-health-c-actor,health-armor,/Game/Blueprint/Pickup/Overlap/Health/BP_Pickup_Health.BP_Pickup_Health_C,BP_Pickup_Health_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing,coverage-health-armor; health-healing,health
game-blueprint-pickup-overlap-health-bp-pickup-scavengerhealth-bp-pickup-scavengerhealth-c-bp-pickup-scavengerhealth-c-actor,game-blueprint-pickup-overlap-health-bp-pickup-scavengerhealth-bp-pickup-scavengerhealth-c-bp-pickup-scavengerhealth-c-actor,health-armor,/Game/Blueprint/Pickup/Overlap/Health/BP_Pickup_ScavengerHealth.BP_Pickup_ScavengerHealth_C,BP_Pickup_ScavengerHealth_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing,coverage-health-armor; health-healing,health
game-blueprint-totem-bp-totem-health-bp-totem-health-c-bp-totem-health-c-actor,game-blueprint-totem-bp-totem-health-bp-totem-health-c-bp-totem-health-c-actor,health-armor,/Game/Blueprint/Totem/BP_Totem_Health.BP_Totem_Health_C,BP_Totem_Health_C,actor,object dump,"Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.","Health, armor, shields, and elimination; may affect health correctness, player scoping, damage/death flow, or recovery.",untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing,coverage-health-armor; health-healing,health
game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-dummyimagetomaintainheightwhencollapsed-property,game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-dummyimagetomaintainheightwhencollapsed-property,health-armor,/Game/UI/Generic/UI_BossHealthBar_OLD.UI_BossHealthBar_OLD_C:DummyImageToMaintainHeightWhenCollapsed,UI_BossHealthBar_OLD_C.DummyImageToMaintainHeightWhenCollapsed,property,object dump,"Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.","Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.",untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing; world-ui-follow-up,coverage-health-armor; health-healing; world-ui-follow-up,health
game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-property,game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-property,health-armor,/Game/UI/Generic/UI_BossHealthBar_OLD.UI_BossHealthBar_OLD_C:Image,UI_BossHealthBar_OLD_C.Image,property,object dump,"Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.","Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.",untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing; world-ui-follow-up,coverage-health-armor; health-healing; world-ui-follow-up,health
game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-1-property,game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-1-property,health-armor,/Game/UI/Generic/UI_BossHealthBar_OLD.UI_BossHealthBar_OLD_C:Image_1,UI_BossHealthBar_OLD_C.Image_1,property,object dump,"Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.","Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.",untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing; world-ui-follow-up,coverage-health-armor; health-healing; world-ui-follow-up,health
game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-10-property,game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-10-property,health-armor,/Game/UI/Generic/UI_BossHealthBar_OLD.UI_BossHealthBar_OLD_C:Image_10,UI_BossHealthBar_OLD_C.Image_10,property,object dump,"Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.","Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.",untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing; world-ui-follow-up,coverage-health-armor; health-healing; world-ui-follow-up,health
game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-11-property,game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-11-property,health-armor,/Game/UI/Generic/UI_BossHealthBar_OLD.UI_BossHealthBar_OLD_C:Image_11,UI_BossHealthBar_OLD_C.Image_11,property,object dump,"Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.","Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.",untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing; world-ui-follow-up,coverage-health-armor; health-healing; world-ui-follow-up,health
game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-130-property,game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-130-property,health-armor,/Game/UI/Generic/UI_BossHealthBar_OLD.UI_BossHealthBar_OLD_C:Image_130,UI_BossHealthBar_OLD_C.Image_130,property,object dump,"Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.","Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.",untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing; world-ui-follow-up,coverage-health-armor; health-healing; world-ui-follow-up,health
game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-2-property,game-ui-generic-ui-bosshealthbar-old-ui-bosshealthbar-old-c-image-2-property,health-armor,/Game/UI/Generic/UI_BossHealthBar_OLD.UI_BossHealthBar_OLD_C:Image_2,UI_BossHealthBar_OLD_C.Image_2,property,object dump,"Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.","Health, armor, shields, and elimination; object or state candidate materially connected to complete CrabSync evidence coverage.",untested,not observed naturally,object-dump property type: ObjectProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-health-armor; health-healing; world-ui-follow-up,coverage-health-armor; health-healing; world-ui-follow-up,health
